myFCT,AEZ_id
816,SNNPR
817,SNNPR
818,SNNPR
819,SNNPR
820,SNNPR
821,SNNPR
822,SNNPR
824,SNNPR
825,SNNPR
826,SNNPR
827,SNNPR
828,SNNPR
829,SNNPR
830,SNNPR
831,SNNPR
832,SNNPR
833,SNNPR
834,SNNPR
835,SNNPR
836,SNNPR
14,Gambella
15,Gambella
36,Gambella
39,Gambella
40,Gambella
52,Gambella
74,Gambella
83,Gambella
89,Gambella
93,Gambella
96,Gambella
118,Gambella
134,Gambella
140,Gambella
155,Gambella
156,Gambella
165,Gambella
168,Gambella
171,Gambella
190,Gambella
197,Gambella
199,Gambella
201,Gambella
222,Gambella
229,Gambella
233,Gambella
234,Gambella
235,Gambella
236,Gambella
237,Gambella
241,Gambella
245,Gambella
247,Gambella
272,Gambella
276,Gambella
292,Gambella
294,Gambella
326,Gambella
336,Gambella
354,Gambella
405,Gambella
407,Gambella
409,Gambella
412,Gambella
426,Gambella
800,Gambella
801,Gambella
804,Gambella
806,Gambella
807,Gambella
809,Gambella
810,Gambella
811,Gambella
812,Gambella
813,Gambella
816,Gambella
817,Gambella
819,Gambella
820,Gambella
821,Gambella
822,Gambella
824,Gambella
825,Gambella
826,Gambella
827,Gambella
828,Gambella
829,Gambella
830,Gambella
831,Gambella
832,Gambella
833,Gambella
834,Gambella
835,Gambella
836,Gambella
14,Harari
15,Harari
36,Harari
39,Harari
40,Harari
52,Harari
74,Harari
83,Harari
96,Harari
134,Harari
140,Harari
155,Harari
156,Harari
165,Harari
168,Harari
171,Harari
190,Harari
197,Harari
199,Harari
201,Harari
222,Harari
229,Harari
233,Harari
234,Harari
235,Harari
236,Harari
241,Harari
245,Harari
247,Harari
272,Harari
276,Harari
292,Harari
294,Harari
326,Harari
336,Harari
354,Harari
405,Harari
407,Harari
409,Harari
412,Harari
426,Harari
800,Harari
801,Harari
804,Harari
806,Harari
807,Harari
809,Harari
810,Harari
811,Harari
812,Harari
813,Harari
817,Harari
818,Harari
819,Harari
820,Harari
821,Harari
822,Harari
825,Harari
827,Harari
828,Harari
829,Harari
830,Harari
831,Harari
832,Harari
833,Harari
834,Harari
835,Harari
836,Harari
14,Dire Dawa
15,Dire Dawa
36,Dire Dawa
39,Dire Dawa
40,Dire Dawa
52,Dire Dawa
74,Dire Dawa
83,Dire Dawa
96,Dire Dawa
134,Dire Dawa
140,Dire Dawa
155,Dire Dawa
156,Dire Dawa
165,Dire Dawa
168,Dire Dawa
171,Dire Dawa
190,Dire Dawa
197,Dire Dawa
199,Dire Dawa
201,Dire Dawa
222,Dire Dawa
229,Dire Dawa
233,Dire Dawa
234,Dire Dawa
235,Dire Dawa
236,Dire Dawa
241,Dire Dawa
245,Dire Dawa
247,Dire Dawa
272,Dire Dawa
276,Dire Dawa
292,Dire Dawa
294,Dire Dawa
326,Dire Dawa
336,Dire Dawa
354,Dire Dawa
405,Dire Dawa
407,Dire Dawa
409,Dire Dawa
412,Dire Dawa
426,Dire Dawa
800,Dire Dawa
801,Dire Dawa
804,Dire Dawa
806,Dire Dawa
807,Dire Dawa
809,Dire Dawa
810,Dire Dawa
812,Dire Dawa
813,Dire Dawa
814,Dire Dawa
817,Dire Dawa
819,Dire Dawa
820,Dire Dawa
822,Dire Dawa
825,Dire Dawa
827,Dire Dawa
828,Dire Dawa
830,Dire Dawa
831,Dire Dawa
833,Dire Dawa
834,Dire Dawa
835,Dire Dawa
836,Dire Dawa
