2410,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.3_1,Arba Minch Zuriya,SNNPR
2411,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.4_1,Ayida,SNNPR
2412,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.5_1,Bonke,SNNPR
2413,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.6_1,Boreda,SNNPR
2414,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.7_1,Chencha,SNNPR
2415,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.8_1,Demba Gofa,SNNPR
2416,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.9_1,Deramalo,SNNPR
2417,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.10_1,Dita,SNNPR
2418,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.11_1,Gezegofa,SNNPR
2419,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.12_1,Kemba,SNNPR
2420,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.13_1,Kucha,SNNPR
2421,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.14_1,Melekoza,SNNPR
2422,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.15_1,Merab Abaya,SNNPR
2423,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.16_1,Sawla Town,SNNPR
2424,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Gamo Gofa,ETH.10.8.17_1,Uba Debre Tsehay,SNNPR
2425,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.9_1,Gedeo,ETH.10.9.1_1,Bule,SNNPR
2426,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.9_1,Gedeo,ETH.10.9.2_1,Dila Town,SNNPR
2427,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.9_1,Gedeo,ETH.10.9.3_1,Dila Zuria,SNNPR
2428,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.9_1,Gedeo,ETH.10.9.4_1,Gedeb,SNNPR
2429,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.9_1,Gedeo,ETH.10.9.5_1,Kochire,SNNPR
2430,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.9_1,Gedeo,ETH.10.9.6_1,Wenago,SNNPR
2431,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.9_1,Gedeo,ETH.10.9.7_1,Yergachefe Town,SNNPR
2432,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.9_1,Gedeo,ETH.10.9.8_1,Yirgachefe Woreda,SNNPR
2433,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gurage,ETH.10.10.1_1,Abeshge,SNNPR
2434,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gurage,ETH.10.10.2_1,Butajira Town,SNNPR
2435,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gurage,ETH.10.10.3_1,Cheha,SNNPR
2436,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gurage,ETH.10.10.4_1,Endegagn,SNNPR
2437,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gurage,ETH.10.10.5_1,Enemorna Ener,SNNPR
2438,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gurage,ETH.10.10.6_1,Ezha,SNNPR
2439,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gurage,ETH.10.10.7_1,Gedebano Gutazer Wellene,SNNPR
2440,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gurage,ETH.10.10.8_1,Geta,SNNPR
2441,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gurage,ETH.10.10.9_1,Gumer,SNNPR
2442,ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gurage,ETH.10.10.10_1,Kebena,SNNPR
