FCT_id,food_grp_id,food_item_id,Food_grp,Food_name,local_name,Crop_ref,Edible,Energy,WATER,Protein,Fat,Carbohydrate,Fiber,ASH,CA,FE,MG,P,K,NA,ZN,CU,VITA_RAE,RETOL,B_Cart_eq,VITD,VITE,THIA,RIBF,NIA,VITB6C,FOL,VITB12,VITC,food_group_unicef
1046,1,46,Cereals and their products,Bread@ wheat@ white,Bread wheat,0,1,251,36.5,8.4,1.8,48.4,3.1,1.9,28,1.2,23,93,117,547,0.6,0.16,0,0,0,0,0.5,0.16,0.05,1.5,0.06,29,0,0,Grains@ roots and tubers
20003,12,800,Miscellaneous,Barley,Barley,0,0,340,0,5.4,1.1,77.8,9.6,0.7,17,1,25,110,170,2,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Grains@ roots and tubers
1040,1,40,Cereals and their products,Sorghum@ white,Sorghum,0,1,370,9.4,9.3,3.9,65.5,9.9,2,24,3.9,311,249,298,14,2.08,0.18,0,0,0,0,1.1,0.36,0.17,3.4,0.25,30,0,0,Grains@ roots and tubers
1004,1,4,Cereals and their products,Maize@ white,Maize,0,1,351,11.4,9.2,4.1,63.9,9.7,1.8,19,3.1,82,246,310,11,1.55,0.18,0,0,0,0,1.3,0.35,0.1,2.1,0.2,26,0,0,Grains@ roots and tubers
20021,12,811,Miscellaneous,Faba bean,Faba bean,0,0,309,0,25.3,1.4,38.3,20.8,3.3,95.6,5.2,135.5,430.6,1190,25,3.55,0.82,2.4,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
20016,12,813,Miscellaneous,Field peas,Field pea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
20006,12,820,Miscellaneous,Haricot beans@ white,Haricot bean,0,0,311,0,21.8,1.8,42.6,18.6,3.7,141.5,8,165.5,403.9,1340,16.7,2.91,1.03,0,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
3118,3,118,Legumes and their products,Soya bean@ dried,Soybean,0,1,411,9.3,32,17,27.6,9.3,4.9,232,7.8,245,468,1740,5,4.73,1.48,1,0,13,0,0.72,0.7,0.28,2,0.82,375,0,0,Legumes and nuts
,,,Vegetables and their products,0,Gomenzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other fruits and vegetables
2083,2,83,Starchy roots@ tubers and their products,Potato,Potato,0,0.84,81,77.8,1.9,0.1,16.9,1.8,1.5,11,0.9,27,50,551,7,0.35,0.09,1,0,14,0,0.06,0.08,0.12,1.2,0.27,18,0,17.3,Grains@ roots and tubers
2085,2,85,Starchy roots@ tubers and their products,Sweet potato@ deep yellow,Sweet potato,0,0.84,114,69.8,1.5,0.3,24.5,3,0.9,26,1.1,16,40,330,19,0.39,0.13,397,0,4770,0,0.23,0.09,0.05,0.7,0.2,52,0,31,Vitamin A rich fruits and Vegetable
2077,2,77,Starchy roots@ tubers and their products,Cassava@ tuber,Cassava,0,0.84,155,60.3,1.2,0.3,35.6,1.8,1,43,0.7,21,47,271,14,0.34,0.1,1,0,15,0,0.19,0.04,0.05,0.7,0.09,24,0,30,Grains@ roots and tubers
2093,2,93,Starchy roots@ tubers and their products,Yam tuber,Yam,0,0.81,129,65.2,1.9,0.2,27.5,4.1,1.1,26,0.8,12,53,816,5,0.64,0.11,2,0,30,0,0.46,0.32,0.07,0.4,0.34,26,0,12.8,Grains@ roots and tubers
2089,2,89,Starchy roots@ tubers and their products,Taro@ tuber,Taro,0,0.86,93,74,1.7,0.1,19,4.1,1.1,33,0.9,22,88,399,12,0.42,0.2,2,0,23,0,1.19,0.1,0.03,0.8,0.24,22,0,8,Grains@ roots and tubers
,,,Miscellaneous,0,Enset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other fruits and vegetables
4168,4,168,Vegetables and their products,Onion,Onion,0,0.91,37,89.5,1.1,0.1,6.9,1.8,0.6,25,0.3,10,39,183,4,0.26,0.04,0,0,1,0,0.04,0.05,0.04,0.2,0.1,16,0,10.3,Other fruits and vegetables
,,,Vegetables and their products,0,Shallot,,,75,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,Other fruits and vegetables
