id,food_name,food_name2_no_quotation,food_group,nutrition_group,Edible conversion factor,Energy_kj,Energy_kcal ,Water,Protein,Fat,Carbohydrate available ,Fibre,Ash,Ca,Fe,Mg,P,K,Na,Zn,Se,Vit A-RAE,Vit A-RE,Retinol ,b-carotene equivalent ,Thiamin ,Riboflavin ,Niacin,Dietary Folate Eq.,Food folate ,Vit B12 ,Vit C,food_group_unicef
15097,Stewed Green Bananas,Stewed Green Bananas,Mixed dishes ,,,350,84,81.8,1,3.8,10.4,2.2,0.8,9,0.7,15,24,175,100,0.21,1,6,13,0,75,0.03,0.03,0.3,10,10,0,13.2,non-category
15098,Stir Fried Beef,Stir Fried Beef,Mixed dishes ,,,1066,255,50.3,26.7,14.1,5,1,3.1,16,16.4,40,422,483,682,5.13,27,19,28,10,107,0.02,0.31,5.1,10,10,1.86,9.4,non-category
15099,Stir Fried Goat Meat,Stir Fried Goat Meat,Mixed dishes ,,,1600,383,30.2,32.1,23.3,10.4,1.7,2.3,33,4.1,50,424,465,221,5.74,43,42,60,24,214,0.2,0.33,5.4,14,14,2.84,18.7,non-category
15100,Finger Millet Ugali,Finger Millet Ugali,Mixed dishes ,,,505,120,65.1,2.9,0.7,21,8.9,1.4,137,4.4,61,72,212,3,0.67,6,0,0,0,1,0.06,0.01,1.6,26,26,0,0,non-category
15101,Omena Stew,Omena Stew,Mixed dishes ,,,1860,450,32.8,19.2,39.3,4.6,0.8,3.4,879,2.3,33,782,281,90,5.28,7,55,69,41,171,0.11,0.17,5.4,22,22,16.78,10.9,non-category
15102,Aluru (Stewed Quails),Aluru (Stewed Quails),Mixed dishes ,,,809,195,65.9,11.3,14.2,5.2,0.6,2.9,90,1.6,23,202,302,761,1.24,9,51,58,44,80,0.06,0.36,2.7,9,9,0.61,7.9,non-category
15103,Mashed Potatoes,Mashed Potatoes,Mixed dishes ,,,449,106,71,2.5,0.2,22.8,1.7,1.8,10,1.4,20,82,650,330,0.32,1,0,0,0,0,0.06,0.03,1.1,42,42,0,6,non-category
15104,Mashed Bananas,Mashed Bananas,Mixed dishes ,,,344,81,76.9,1.2,0.3,16.9,3,1.7,8,0.6,20,25,245,348,0.19,1,0,0,0,2,0.04,0.03,0.2,11,11,0,13.7,non-category
15105,Enriched Mashed Potatoes,Enriched Mashed Potatoes,Mixed dishes ,,,591,141,70.4,2,6.2,18.6,1.4,1.4,10,1.1,16,67,529,209,0.26,1,51,54,48,38,0.05,0.03,0.9,34,34,0,4.9,non-category
15106,Enriched Mashed Bananas,Enriched Mashed Bananas,Mixed dishes ,,,568,136,72.9,0.1,7.8,14.3,2.6,1.5,8,0.5,17,22,207,276,0.16,1,63,67,59,48,0.03,0.03,0.2,9,9,0.01,11.6,non-category
15107,Stewed Nile Perch,Stewed Nile Perch,Mixed dishes ,,,522,125,74,14.3,6.3,2.5,0.5,2.4,105,1,26,216,203,596,0.51,16,16,22,10,68,0.01,0.01,1.6,9,9,0.86,5.2,non-category
15108,Stewed Goat Meat,Stewed Goat Meat,Mixed dishes ,,,925,222,59.4,17.1,14.6,5.2,0.8,2.9,16,2.1,25,225,235,783,3.04,23,21,29,13,94,0.11,0.17,2.9,8,8,1.52,8.2,non-category
15109,Pan Fried Sweet Potatoes,Pan Fried Sweet Potatoes,Mixed dishes ,,,1040,248,51.7,3.1,13.9,25.3,4.9,1.2,44,0.8,21,50,325,16,0.73,1,796,1590,0,9550,0.04,0.07,1.2,11,11,0,35.2,non-category
15110,Potato Chips,Potato Chips,Mixed dishes ,,,1370,326,32.1,4.8,13.6,44.4,3.3,1.9,17,2.7,37,159,1260,13,0.63,1,0,0,0,0,0.11,0.07,2.3,82,82,0,12,non-category
15111,Kimito (Mashed Beans & Potatoes),Kimito (Mashed Beans & Potatoes),Mixed dishes ,,,537,127,64.1,5.7,0.8,21.6,5.4,2.3,35,2.2,36,173,557,359,0.77,2,0,0,0,1,0.09,0.06,1,58,58,0,3.4,non-category
15112,Arrowroot Stew,Arrowroot Stew,Mixed dishes ,,,383,91,77.8,1.9,2.3,14.9,1.8,1.4,11,0.9,18,41,431,250,0.44,1,48,95,0,570,0.09,0.05,1.1,13,13,0,5.3,non-category
15113,Sweet Potatoes with Peanut Butter,Sweet Potatoes with Peanut Butter,Mixed dishes ,,,373,89,81.1,2.2,4.4,9.3,2.2,0.9,23,0.7,21,33,179,130,0.42,1,263,526,0,3155,0.05,0.04,1.1,10,10,0,17,non-category
15114,Black Bean Stew,Black Bean Stew,Mixed dishes ,,,261,62,83.6,3.6,1.3,7.7,2.8,1.1,17,1.2,26,55,175,164,0.42,2,3,5,0,30,0.07,0.03,0.4,4,4,0,2.6,non-category
15115,Bean Stew with Milk and Cream,Bean Stew with Milk and Cream,Mixed dishes ,,,584,139,65.2,7.2,4.5,14.3,6.7,2.2,66,1.9,34,197,259,273,0.96,2,25,32,19,77,0.08,0.11,0.6,47,47,0.12,4.4,non-category
15116,Rice with Milk,Rice with Milk,Mixed dishes ,,,741,176,61.5,3.9,5.7,27.2,0.2,1.4,53,0.4,12,96,73,419,0.64,1,44,47,42,27,0.02,0.14,0.3,9,9,0.2,0,non-category
15117,Pan Fried Arrowroots,Pan Fried Arrowroots,Mixed dishes ,,,761,181,56.9,4.1,5.2,28.3,2.5,3.1,8,1.3,29,50,696,616,1.09,1,2,3,0,20,0.21,0.1,2.4,0,0,0,1.7,non-category
15118,Nyenyi (Mashed Pigeon Peas & Green Maize),Nyenyi (Mashed Pigeon Peas & Green Maize),Mixed dishes ,,,524,125,66.4,4.9,2.3,17.8,6.5,2,56,1.8,41,106,479,273,0.89,4,23,34,12,130,0.14,0.05,1,54,54,0,2.9,non-category
15119,Finger Millet and Sorghum Porridge,Finger Millet and Sorghum Porridge,Mixed dishes ,,,311,74,82.3,2.7,2.2,9.7,2.3,0.8,93,1.1,24,91,130,23,0.54,4,22,23,22,10,0.02,0.14,0.4,9,9,0.28,0,non-category
15120,Mashed Pumpkin and Black Nightshade,Mashed Pumpkin and Black Nightshade,Mixed dishes ,,,277,67,80.8,3.8,2.4,4.9,5.1,3,91,6.7,41,75,456,411,0.66,1,88,176,0,1050,0.09,0.27,1.4,233,233,0,21.5,non-category
15121,Enriched Matoke,Enriched Matoke,Mixed dishes ,,,465,111,73.7,2.4,3.5,15.8,3.2,1.4,15,0.9,33,37,256,220,0.32,2,0,0,0,2,0.08,0.04,1,14,14,0,12,non-category
15122,Oatmeal,Oatmeal,Mixed dishes ,,,351,83,78.3,2.4,1.7,12.9,3.5,1.2,15,1,35,110,82,209,0.71,10,0,0,0,0,0.13,0.03,0.2,6,6,0,0,non-category
15123,Oat Porridge,Oat Porridge,Mixed dishes ,,,363,86,79.3,1.9,1.6,15.3,1.4,0.5,39,0.4,18,77,69,14,0.45,5,11,11,11,5,0.05,0.08,0.1,3,3,0.14,0,non-category
15124,Enriched Mandazi,Enriched Mandazi,Mixed dishes ,,,1590,379,23.5,7.6,16.1,49.9,2.2,0.8,45,3.3,21,134,105,80,0.66,2,90,92,88,24,0.47,0.36,3,236*,21,0.57,0.7,non-category
15125,Basic Mandazi,Basic Mandazi,Mixed dishes ,,,1430,340,28.2,6.4,12.9,48.7,2.1,1.7,136,3.5,19,331,350,241,0.52,0,48,48,48,1,0.46,0.29,3,230*,17,0.4,0,non-category
15126,Stewed Split Dal,Stewed Split Dal,Mixed dishes ,,,291,69,81.8,3.7,1.9,8.1,2.7,1.9,22,1.2,21,54,142,459,0.42,6,9,18,0,105,0.05,0.03,0.3,31,31,0,4.8,non-category
15127,Potato Curry,Potato Curry,Mixed dishes ,,,608,145,69,2.2,7,17.3,2.2,2.3,25,1.7,22,68,475,537,0.41,1,10,20,0,120,0.06,0.04,0.9,32,32,0,11.4,non-category
15128,Peas and Brinjal Curry,Peas and Brinjal Curry,Mixed dishes ,,,544,131,72.5,4.2,8.5,6.6,5.8,2.4,38,2.1,30,71,253,520,1.96,2,29,58,0,348,0.13,0.09,1.1,56,56,0,16.8,non-category
15129,Steamed Rice,Steamed Rice,Mixed dishes ,,,513,121,68.6,2.6,0.3,26.7,0.2,1.5,10,0.3,9,49,22,521,0.45,1,0,0,0,0,0.02,0.04,0.4,2,2,0,0,non-category
15130,Rotli (Indian Chapati),Rotli (Indian Chapati),Mixed dishes ,,,1560,374,21.6,8,16.7,43.8,7.9,2,25,2.7,83,199,234,354,1.64,27,44,46,42,25,0.32,0.09,2.2,39*,0,0,0,non-category
15131,Potato Bhajia,Potato Bhajia,Mixed dishes ,,,1960,471,15.1,8.6,31,37.1,4.8,3.5,29,3,39,132,783,587,0.78,2,5,9,1,50,0.17,0.09,1.8,81,81,0,8.2,non-category
15132,Chaas (Diluted Yoghurt),Chaas (Diluted Yoghurt),Mixed dishes ,,,252,60,86.6,2,2.2,8,0,1.1,106,0.1,8,66,93,262,0.24,2,24,26,23,16,0.04,0.11,0,0,0,0.12,0,non-category
15133,Siro (Semolina & Nuts),Siro (Semolina & Nuts),Mixed dishes ,,,1720,412,28.4,4.3,26.1,39.4,1.1,0.8,81,0.5,19,105,140,24,0.66,4,196,205,187,105,0.03,0.18,0.3,9,9,0.32,0,non-category
15134,Minced Meat Balls,Minced Meat Balls,Mixed dishes ,,,659,157,65.9,8.1,5.4,18.6,0.8,1.3,14,4.4,17,126,133,321,1.55,7,9,16,2,79,0.02,0.1,1.4,5,5,0.43,4.1,non-category
15136,Wheat Flour Porridge,Wheat Flour Porridge,Mixed dishes ,,,468,111,76.3,2.5,3.9,16.1,0.9,0.3,14,0.9,21,32,60,3,0.24,1,7,7,7,0,0.11,0.05,1.4,37*,7,0.06,0,non-category
15137,Okra Meat Dish,Okra Meat Dish,Mixed dishes ,,,394,94,80.1,8.2,5.1,3.2,1.3,2.1,23,5.2,24,126,199,559,1.65,8,15,28,3,151,0.03,0.1,1.7,13,13,0.51,9.3,non-category
15138,Hydrabadi Biryani,Hydrabadi Biryani,Mixed dishes ,,,819,195,59.3,8.2,8.3,21.4,0.9,1.9,35,1,22,115,187,457,0.62,15,13,19,8,65,0.06,0.09,1.2,4,4,1.08,1.9,non-category
15139,Chick Peas Curry,Chick Peas Curry,Mixed dishes ,,,524,126,69.2,6,5.1,10.3,7.3,2.1,77,2.5,48,83,329,426,0.96,11,12,23,0,140,0.11,0.06,0.6,61,61,0,5.5,non-category
15140,Bhature (Fried Indian Bread),Bhature (Fried Indian Bread),Mixed dishes ,,,1410,337,36.1,5.9,18.5,35.9,1.7,1.9,62,2.8,18,108,109,518,0.5,1,73,87,58,170,0.38,0.27,2.4,180*,15,0.35,1.4,non-category
15141,Pumpkins with Peanut Butter,Pumpkins with Peanut Butter,Mixed dishes ,,,359,86,82.7,2.6,5.5,5.4,2.6,1.3,24,0.6,29,44,195,196,0.36,1,91,182,0,1090,0.1,0.06,1.6,26,26,0,5.5,non-category
15142,Boiled beans ,Boiled beans ,Mixed dishes ,,,390,93,74.9,5.2,2.3,10.2,5.3,2.1,43,1.6,32,150,229,355,0.7,2,2,4,0,24,0.09,0.05,0.6,69,69,0,1,non-category
10001,"Bambara groundnuts, dried, raw","Bambara groundnuts, dried, raw",NUTS AND SEEDS,,,1340,321,9.5,18.1,6,34.6,28.2,3.6,39,3.3,166,190,1330,2,1.81,,0,0,0,tr,0.04,0.07,2.3,,,0,tr,Legumes and nuts 
10002,"Coconut, fresh, mature fruit, flesh","Coconut, fresh, mature fruit, flesh",NUTS AND SEEDS,,0.48,1740,423,37.1,4.4,39,8.5,10.1,1,18,2.3,47,146,125,29,0.73,3,0,0,0,0,0.08,0.08,1,14,14,0,2.6,Legumes and nuts 
10003,"Coconut, fresh, young or immature, flesh","Coconut, fresh, young or immature, flesh",NUTS AND SEEDS,,1,736,176,68,2,10.8,17.3,1,0.9,34.7,1.2,35,56,266,12,0.42,4,0,0,0,0,0.03,0.6,1.2,20,20,0,5.8,Legumes and nuts 
10004,"Coconut meat, dried (desiccated)","Coconut meat, dried (desiccated)",NUTS AND SEEDS,,1,2730,663,4.3,6.7,63.7,7.6,16.1,1.6,25.7,2.7,88.8,210,536,36.5,2,3,0,0,0,0,0.08,0.1,0.6,9,9,0,2,Legumes and nuts 
10005,"Jack fruit, seed, mature, dry, raw","Jack fruit, seed, mature, dry, raw",NUTS AND SEEDS,,1,654,156,51.8,4.8,0.6,24.4,16.8,1.5,84,5.9,126,205,463,8,1.56,1,0,0,0,0,0.15,0.07,0.6,148,148,0,4.3,Legumes and nuts 
10006,"Mustard Seeds, Dry, Raw","Mustard Seeds, Dry, Raw",NUTS AND SEEDS,,1,2160,522,8.2,18.8,[39.7],15.5,13.7,4.2,433,16,220,587,380,2,3.9,70,3,6,0,37,0.65,0.26,3.7,75,75,0,0,Legumes and nuts 
10007,"Nut, almond, with or without skin, raw, unsalted","Nut, almond, with or without skin, raw, unsalted",NUTS AND SEEDS,,1,2530,612,4.6,20.2,52.8,8.6,11,2.9,249,4.1,283,469,724,1,3.44,4,1,2,0,9,0.18,0.93,3.7,37,37,0,0.2,Legumes and nuts 
10008,"Nut, cashew, dry, raw, unsalted","Nut, cashew, dry, raw, unsalted",NUTS AND SEEDS,,1,2470,595,5.9,16.5,48,21.5,5.8,2.3,33,4.9,244,578,536,11,5.36,32,1,1,0,6,0.65,0.25,1.8,24,24,0,0,Legumes and nuts 
10009,"Nut, ground nut, with skin, unsalted, dry, raw","Nut, ground nut, with skin, unsalted, dry, raw",NUTS AND SEEDS,,1,2450,593,5.9,20.1,48.4,15,8.3,2.3,117,5.5,225,232,630,1,2.24,12,0,1,0,4,0.85,0.14,15,110,110,0,0,Legumes and nuts 
10010,"Nut, macadamia, raw, unsalted","Nut, macadamia, raw, unsalted",NUTS AND SEEDS,,0.27,2860,696,7.7,6.8,70.9,2,11.2,1.4,44,2.2,100,276,308,5,1.3,10,0,0,0,0,0.27,0.1,2,114,114,0,4.6,Legumes and nuts 
10011,"Nut, pistachio, raw, unsalted","Nut, pistachio, raw, unsalted",NUTS AND SEEDS,,1,2450,591,4.2,21,48,13.8,10.1,3,116,4.8,132,503,1030,5,2.07,6,16,31,0,187,0.81,0.17,1.2,63,63,0,1.4,Legumes and nuts 
10012,Peanut Butter,Peanut Butter,NUTS AND SEEDS,,1,2450,593,5.9,20.1,48.4,15,8.3,2.3,117,5.5,225,232,630,1,2.24,12,0,1,0,4,0.85,0.14,15,110,110,0,0,Legumes and nuts 
10013,"Seed, pumpkin, hulled & dried, unsalted","Seed, pumpkin, hulled & dried, unsalted",NUTS AND SEEDS,,1,2380,575,8,24.3,47.6,9.6,5.8,4.7,50,5.5,519,1140,796,19,7.24,9,19,38,0,[228],0.33,0.16,1.6,56,56,0,1.9,Legumes and nuts 
10014,"Seed, sesame (sim sim) unsalted, dry, raw","Seed, sesame (sim sim) unsalted, dry, raw",NUTS AND SEEDS,,1,2490,602,4.9,15.3,54.1,6.4,14.3,5,1430,9.7,333,803,322,7,1.72,21,0,1,0,5,1.01,0.34,5.1,103,103,0,0,Legumes and nuts 
10015,"Seed, sunflower, unsalted, dry, raw","Seed, sunflower, unsalted, dry, raw",NUTS AND SEEDS,,0.52,2460,595,5.9,18.5,49.9,14.7,10.6,2.5,98,5,362,670,450,0,6,61,1,1,0,7,0.86,0.2,14.2,224,224,0,0,Legumes and nuts 
10016,"Water Melon, Seed Kernel, Dry, Raw","Water Melon, Seed Kernel, Dry, Raw",NUTS AND SEEDS,,1,2450,590,5,30,47.5,7.6,6,3.7,69,7.1,513,706,433,99,3.4,10,tr,tr,0,tr,0.12,0.2,3.1,58,58,0,0,Legumes and nuts 
9001,Animal fat/ lard,Animal fat/ lard,OILS AND FAT,,1,3660,890,1,0,99,0,0,0.3,1,0.1,0,3,1,2,0.11,0,0,0,0,0,0,0,0,0,0,0,0,non-category
9002,Corn oil,Corn oil,OILS AND FAT,,1,3700,900,0,0,99.9,0.1,0,0,0,0,0,0,0,0,0.01,0,6,6,6.38,0,0,0,0,0,0,0,0,non-category
9003,Fish liver oil,Fish liver oil,OILS AND FAT,,1,3700,900,0,0,100,0,0,0,0,0,0,0,0,0,0,0,30000,30000,30000,tr,0,0,0,0,0,0,0,non-category
9004,"Margarine,20% fat","Margarine,20% fat",OILS AND FAT,,1,728,177,78.8,0,19.5,0.4,0,1.3,0,0,1,14,25,733,0,0,819,870,768,610,0,0,0,0,0,0,0,non-category
9005,"Margarine,60% fat","Margarine,60% fat",OILS AND FAT,,1,2230,541,37.7,0.3,59.8,0.5,0,1.7,21,0,2,16,30,700,0,0,819,870,768,610,0.01,0.03,0,1,1,3.65,0.1,non-category
9006,"Margarine,80% fat","Margarine,80% fat",OILS AND FAT,,1,3070,748,15,0.1,[83],0,0,1.9,10,0,2,10,5,300,0,0,819,870,768,610,0,0,0,1,1,0.06,0.15,non-category
9007,Mustard seed oil,Mustard seed oil,OILS AND FAT,,1,3700,900,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non-category
9008,Olive oil,Olive oil,OILS AND FAT,,1,3700,900,0,0,100,0,0,0,0,0,0,1,0,0,0.01,0,1,2,0,11,0,0,0,0,0,0,0,non-category
9009,Peanut oil,Peanut oil,OILS AND FAT,,1,3700,900,0,0,100,0,0,0,0,0.1,1,3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,non-category
9010,Red palm oil,Red palm oil,OILS AND FAT,,1,3660,891,1,0,99,0,0,0.1,6,0,0,7,0,0,0,0,5490,11000,0,65800,0.01,0.02,0,0,0,0,0,non-category
9011,"Shortening, commercial, vegetable fat ","Shortening, commercial, vegetable fat ",OILS AND FAT,,1,3700,900,0,0.1,100,0,0,0,1,0,0,0,1,1,0.02,0,0,0,0,0,0,0,0.1,0,0,0,0,non-category
9012,Soya bean oil,Soya bean oil,OILS AND FAT,,1,3700,900,0,0,100,0,0,0,0,0,0,0,0,0,0,0,3,3,2.66,0,0,0,0,0,0,0,0,non-category
9013,Sun flower oil,Sun flower oil,OILS AND FAT,,1,3700,900,0,0,100,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,non-category
11001,"Honey, Raw  ","Honey, Raw  ",SUGAR AND SWEETENED PRODUCTS,,1,1370,322,19.2,0.4,0,80.1,0,0.3,11,0.6,3,4,74,17,3,,0,0,0,0,0,0,0,0,0,0,0,non-category
11002,"Sugarcane, Juice, Raw  ","Sugarcane, Juice, Raw  ",SUGAR AND SWEETENED PRODUCTS,,1,159,37,90.2,0.1,[0.2],8.5,0.6,0.4,10,1.1,13,22,150,1,0.14,0,1,2,0,10.34,0.03,0.04,0.1,45,[45],0,6.7,non-category
11003,"Sugar, white, granulated or lump","Sugar, white, granulated or lump",SUGAR AND SWEETENED PRODUCTS,,1,1700,400,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,non-category
5039,"Zambarau, peeled, raw","Zambarau, peeled, raw",FRUITS,,0.62,252,59,85.3,0.52,[0.4],[13.5],,0.4,44,0.5,17,17,72,11,0.42,1, -,- ,- ,- ,- ,- ,- ,- ,- ,0,- ,Other fruits and vegetables 
5009,"Doumpalm fruit, raw","Doumpalm fruit, raw",FRUITS,,0.28,1180,280,17.6,2.8,[0.7],58.3,[14.8],5.9,73,18,53,45,862,0.47,3.4,-,-,-,0,-,0.05,0.1,-,0,-,0,-,Other fruits and vegetables 
5019,"Mango, ripe, raw","Mango, ripe, raw",FRUITS,,0.72,272,64,83,0.6,0.3,14,1.6,0.5,14,0.2,9,17,186,1,0.14,1,92,184,0,1105,0.03,0.04,0.6,54,54,0,35,Vitamin A rich fruits and Vegetable 
5024,"Papaya, yellow skin, peeled, raw","Papaya, yellow skin, peeled, raw",FRUITS,,0.76,153,36,89.8,0.6,[0.3],6.8,2.1,0.5,21,0.6,28,17,140,4,0.2,0,85,170,0,1018,0.04,0.03,0.3,37,37,0,51,Vitamin A rich fruits and Vegetable 
5025,"Passion fruit, dark purple skin, raw","Passion fruit, dark purple skin, raw",FRUITS,,0.52,313,75,75.7,2.4,[0.9],8.7,11.7,0.8,10,0.6,28,68,200,19,0.8,1,64,127,0,764,0.03,0.14,2.5,7,7,0,29,Vitamin A rich fruits and Vegetable 
5037,"Tree tomato, dark red skin, peeled, raw","Tree tomato, dark red skin, peeled, raw",FRUITS,,0.4,177,43,85.6,2.1,[0.3],4.6,6.5,0.9,56,1,19,51,133,20,0.4,0,45,91,0,546,0.13,0.1,1.6,63,63,0,12.6,Vitamin A rich fruits and Vegetable 
5026,"Passion Fruit, juice","Passion Fruit, juice",FRUITS,,1,408,96,75.5,0.8,0.1,22.9,0.2,0.5,13,0.4,21,20,252,10,0.3,0,45,90,0,538,0.07,0.01,1.5,8,8,0,23,Vitamin A rich fruits and Vegetable 
5018,"Loquat, peeled, raw","Loquat, peeled, raw",FRUITS,,0.75,214,51,84.6,0.62,0.2,9.5,4.51,0.7,13,0.5,13,20,180,2,0.22,tr,45,89,0,537,0.02,0.04,0.3,14,14,0,4.1,Vitamin A rich fruits and Vegetable 
5011,"Guava, pink-fleshed, raw","Guava, pink-fleshed, raw",FRUITS,,1,196,48,80.7,1.1,1.1,0.9,15.5,0.8,20,0.4,18,31,334,1,0.26,tr,22,45,0,267,0.06,0.05,0.6,16,16,0,222,Vitamin A rich fruits and Vegetable 
5038,"Watermelon, fruit, green with white stripes, raw","Watermelon, fruit, green with white stripes, raw",FRUITS,,0.64,112,26,92.9,0.6,[0.3],5,0.93,0.3,4,0.7,10,20,88,2,0.21,0,21,41,0,246,0.03,0.04,0.26,16,16,0,11.5,Other fruits and vegetables 
5027,"Peach, yellow-fleshed, unpeeled, raw","Peach, yellow-fleshed, unpeeled, raw",FRUITS,,0.88,204,48,86.7,1,0.1,9.9,1.9,0.4,5,0.3,8,20,203,2,0.11,1,13,26,0,157,0.01,0.03,0.8,0,4,0,8,Other fruits and vegetables 
5035,"Tangerine, juice, non-commercial","Tangerine, juice, non-commercial",FRUITS,,1,195,46,88.3,0.6,0.2,10.3,0.2,0.4,12,0.2,11,20,178,1,0.03,0.1,13,25,0,152,0.04,0.03,0.1,21,21,0,37,Other fruits and vegetables 
5012,"Jackfruit, fruit, yellow-fleshed, peeled, raw","Jackfruit, fruit, yellow-fleshed, peeled, raw",FRUITS,,0.23,403,95,73.2,1.4,[0.2],20.5,2.8,1.9,35,0,32,23,279,2,0.76,0,7,15,0,90,0.07,0.13,0.7,19,19,0,7,Other fruits and vegetables 
5020,"Mango, unripe, raw","Mango, unripe, raw",FRUITS,,0.72,192,45,86.7,0.8,0.1,8.9,3,0.6,27,0.4,18,15,147,26,0.09,0,7,13,0,78,0.02,0.03,0.26,[26],[26],0,88,Other fruits and vegetables 
5031,"Plum, purple skin, raw","Plum, purple skin, raw",FRUITS,,0.93,200,47,86.9,0.7,0.1,9.9,2,0.4,10,0.4,7,12,158,1,0.1,0,6,12,0,74,0.04,0.06,0.5,1,6,0,4,Other fruits and vegetables 
5004,"Banana, cavendish, raw","Banana, cavendish, raw",FRUITS,,0.62,402,95,74.4,1.08,[0.3],20.6,2.75,0.9,10,0.3,26,37,187,0,0.36,0,5,9,0,56,0.05,0.05,0.35,22,22,0,4,Other fruits and vegetables 
5023,"Orange, pulp, raw","Orange, pulp, raw",FRUITS,,0.75,176,42,87.6,0.9,[0.2],7.5,3.1,0.7,23,0.2,10,13,165,5,0.05,0,5,9,0,57,0.04,0.03,0.2,52,52,0,45,Other fruits and vegetables 
5032,"Pomegranate, raw","Pomegranate, raw",FRUITS,,0.57,312,74,78.1,1.6,0.2,13.3,6.4,0.4,12,0.8,9,37,172,4,0.4,1,4,9,0,53,0.06,0.06,0.4,38,38,0,15,Other fruits and vegetables 
5022,"Orange, Juice","Orange, Juice",FRUITS,,1,77,18,94.6,0.4,0.1,3.6,1.1,0.4,21,0.7,11,20,146,2,0.08,0,3,7,0,42,0.06,0.02,0.1,44,44,0,[64],Other fruits and vegetables 
5003,"Avocado, ripe, raw","Avocado, ripe, raw",FRUITS,,0.71,761,185,74,1.6,19.6,0,4,1.9,19,1,25,41,281,7,0.39,0,2,5,0,27,0.07,0.15,1.8,67,67,0,14,Other fruits and vegetables 
5010,"Grapes, green, raw","Grapes, green, raw",FRUITS,,0.95,302,71,80.7,0.6,0.1,16,2,0.6,14,0.3,7.1,24,171,3,0.1,0,2,5,0,29,0.03,0.03,0.2,4,4,0,14,Other fruits and vegetables 
5014,"Lemon peel, raw","Lemon peel, raw",FRUITS,,1,213,52,81.6,1.5,0.3,5.4,10.6,0.6,134,0.8,15,12,160,6,0.25,1,3,5,0,30,0.06,0.08,0.4,13,13,0,129,Other fruits and vegetables 
5016,"Lime, juice","Lime, juice",FRUITS,,1,125,30,90.3,0.7,0.2,4.3,4.1,0.4,26,0.3,11,20,150,3,0,0,2,5,0,28,0.03,0.02,0.2,6,6,0,41,Other fruits and vegetables 
5017,"Lime, pulp, raw","Lime, pulp, raw",FRUITS,,0.7,178,42,87.1,0.7,0.2,7.4,4.1,0.6,22,0,11,20,150,3,0.1,0,3,5,0,31,0.02,0.03,0.2,8,8,0,55,Other fruits and vegetables 
5030,"Pineapple, raw","Pineapple, raw",FRUITS,,0.68,172,41,88.6,0.48,[0.2],8.1,2.3,0.3,16,0.4,13,8,143,1,0.37,1,3,5,0,31,0.05,0.03,0.12,32,32,0,36.4,Other fruits and vegetables 
5033,"Raspberry, raw","Raspberry, raw",FRUITS,,1,228,54,83.2,1.4,0.2,8.9,5.6,0.7,27,0.8,25,37,156,1,0.32,1,3,5,0,30,0.04,0.03,0.3,34,34,0,30,Other fruits and vegetables 
5007,"Date, dried","Date, dried",FRUITS,,0.84,1292,305,17.2,2.4,0.2,68.7,9.7,1.9,82,2.6,50,72,730,14,0.6,3,2,4,0,23,0.03,0.13,1.4,19,19,0,5,Other fruits and vegetables 
5008,"Date, raw","Date, raw",FRUITS,,0.86,645,152,60.2,1.6,0.1,35.3,[1.8],1,34,0.3,24,28,410,7,0.2,1,2,3,0,20,0.06,0.07,0.7,25,25,0,22,Other fruits and vegetables 
5001,"Apple, green skin, unpeeled, raw","Apple, green skin, unpeeled, raw",FRUITS,,0.9,231,55,85,0.3,0,12.2,2.4,0.2,6,0.4,4,10,99,2,0.07,1,1,2,0,11,0.025,0.01,0.1,0,0,0,4,Other fruits and vegetables 
5002,"Apple, red, unpeeled, raw","Apple, red, unpeeled, raw",FRUITS,,0.9,239,57,84.6,0.3,0.1,12.4,2.3,0.25,6,0.3,4,9,100,1,0.07,1,1,2,0,14,0.02,0.01,0.13,5,5,0,4,Other fruits and vegetables 
5013,"Lemon, juice, home squeezed","Lemon, juice, home squeezed",FRUITS,,1,198,47,87,0.6,0.2,9.5,2.5,0.25,20,0.3,12,10,120,2,0,0,1,2,0,10,0.02,0.01,0.2,11,11,0,44,Other fruits and vegetables 
5015,"Lemon, pulp, raw","Lemon, pulp, raw",FRUITS,,0.66,155,37,89.5,0.82,0.2,6.7,2.5,0.3,33,0.3,15,16,120,2,0.1,0,1,2,0,10,0.03,0.02,0.2,11,11,0,44,Other fruits and vegetables 
5021,"Mulberry, raw","Mulberry, raw",FRUITS,,0.99,148,35,89.5,1.6,0.2,5.6,2.2,0.9,55,1.2,19,40,310,6,0.2,1,1,2,0,10,0.03,0.07,0.7,33,33,0,11,Other fruits and vegetables 
5028,"Pear, unpeeled, raw","Pear, unpeeled, raw",FRUITS,,0.85,200,48,86,0.4,0.2,9.1,4,0.3,8,0.3,7,11,96,1,0.08,0,1,2,0,14,0.03,0.03,0.1,7,7,0,4,Other fruits and vegetables 
