FCT_id,food_grp_id,food_item_id,Food_grp,Food_name,Crop_ref,Edible,Energy,WATER,Protein,Fat,Carbohydrate,Fiber,ASH,CA,FE,MG,P,K,NA,ZN,CU,VITA_RAE,RETOL,B_Cart_eq,VITD,VITE,THIA,RIBF,NIA,VITB6C,FOL,VITB12,VITC,food_group_unicef
3142,3,142,Legumes and their products,Pigeon pea@ dried,,1,301,13.4,18.4,1.5,43.2,20.2,3.3,140,4.7,183,269,1390,17,1.96,1.02,1,0,12,0,,0.62,0.18,2.9,0.27,456,0,,Legumes and nuts 
4152,4,152,Vegetables and their products,Baobab leaves@ dried,,1,272,7.5,13.7,2.1,35.2,28.6,12.9,1240,15.4,206,355,1550,24,3.6,0.72,130,0,1560,0,5.63,0.1,0.15,6.1,1.1,364,0,19,Vitamin A rich fruits and Vegetable 
4164,4,164,Vegetables and their products,False sesame@ leaves@ dried,,1,304,13.6,17.7,3.4,45.7,8.1,11.5,1310,14.2,285,284,1800,27,4.23,2.2,,0,,0,8.98,0.6,1.72,6,1.24,410,0,13,Other fruits and vegetables 
4181,4,181,Vegetables and their products,Cowpea leaves@ dried,,1,282,10.3,24.4,1.9,29.8,24.1,9.5,1060,34,401,364,2850,40,3.35,1.81,201,0,2407,0,15.8,1.15,2.35,10.2,1.49,673,0,38,Vitamin A rich fruits and Vegetable 
4205,4,205,Vegetables and their products,Pumpkin leaves@ dried,,1,253,19,34.5,2.3,14.5,18,11.7,330,18.8,322,1058,3690,93,1.69,1.13,324,0,3890,0,8.12,0.63,0.66,5,1.65,238,0,9.3,Vitamin A rich fruits and Vegetable 
4217,4,217,Vegetables and their products,Tomato@ powder,,1,325,3.1,12.9,0.4,58.2,16.5,8.9,166,4.6,178,295,1930,134,1.71,1.24,862,0,10348,0,12.25,0.91,0.76,9.1,0.46,120,0,116.7,Vitamin A rich fruits and Vegetable 
6265,6,265,Nuts@ seeds and their products,Cashew nut,,1,581,5.3,17.7,44.4,27,3.1,2.5,44,6.4,267,509,641,14,4.59,2.15,0,0,3,0,0.78,0.6,0.18,1.5,0.45,46,0,0.3,Legumes and nuts 
6272,6,272,Nuts@ seeds and their products,Groundnut,,1,571,6.3,22.4,45.9,14.6,8.5,2.3,47,3.9,191,359,727,6,2.5,0.86,0,0,0,0,10.9,0.87,0.14,15.5,0.59,110,0,0,Legumes and nuts 
6273,6,273,Nuts@ seeds and their products,Groundnut@ rose,,1,562,6.2,20.4,43.2,20.3,7.7,2.2,34,3.7,195,336,711,6,3.65,1.12,0,0,0,0,10.09,0.87,0.14,15.5,0.59,110,0,0,Legumes and nuts 
6274,6,274,Nuts@ seeds and their products,Groundnut@ red,,1,571,5.1,21.7,45.1,16.5,9.4,2.3,44,2.3,193,335,791,6,2.84,1.04,0,0,0,0,10.09,0.87,0.14,15.5,0.59,110,0,0,Legumes and nuts 
6275,6,275,Nuts@ seeds and their products,Melon seeds,,0.37,588,6.4,27.5,47.9,11.3,3.2,3.7,112,6.1,510,867,648,99,7.12,1.54,,0,,0,,0.1,0.12,2.8,0.09,58,0,,Legumes and nuts 
6276,6,276,Nuts@ seeds and their products,Sesame seeds,,1,569,5.1,18.2,48.9,10,11.8,6,983,11.8,351,643,468,11,7.75,4.08,3,0,30,0,0.25,0.68,0.19,3.4,0.79,97,0,,Legumes and nuts 
6285,6,285,Nuts@ seeds and their products,Groundnut@ combined varieties,,1,562,7.2,22.4,44.5,14.8,8.5,2.6,51,6.2,191,394,720,6,2.5,0.85,0,0,0,0,10.09,0.87,0.13,15.3,0.58,109,0,0,Legumes and nuts 
6287,6,287,Nuts@ seeds and their products,Groundnut flour@ with fat,,1,581,4.3,26.6,46.4,10.6,9.9,2.1,41,4,195,366,743,6,2.6,0.88,0,0,0,0,11.03,0.89,0.14,9.9,0.6,112,0,0,Legumes and nuts 
6288,6,288,Nuts@ seeds and their products,Groundnut flour@ defatted,,1,409,5,42.5,9.9,35.3,3.1,4.2,60,4,194,364,737,6,2.55,0.87,0,0,0,0,2.35,0.89,0.14,15.7,0.6,111,0,0,Legumes and nuts 
6290,6,290,Nuts@ seeds and their products,Roselle@ red@ seed@ dried ,,1,421,7,16.8,17.8,42.5,11,4.9,373,4.2,,462,,,0.6,,,0,,0,,0.11,0.37,1.3,,,0,,Legumes and nuts 
7291,7,291,Meat and poultry and their products,Beef liver,,1,133,71,19.4,4.4,3.9,0,1.3,7,8.8,18,369,313,69,3.5,9.76,4970,4950,245,1.2,0.38,0.19,1.56,13.2,1.08,290,59.3,1.3,Flesh foods 
7292,7,292,Meat and poultry and their products,Beef@ meat@ 15-20  % fat@ boneless,,1,234,64.3,18.4,18,0,0,1,8,2.9,25,182,305,70,3.4,0.12,16,16,0,0.6,0.35,0.06,0.28,5.6,0.32,6,1.1,0,Flesh foods 
7293,7,293,Meat and poultry and their products,Chicken@ dark meat,,0.44,135,72.9,20.4,5.9,0,0,1,11,1.1,24,194,276,84,1.36,0.05,17,17,0,0.2,0.26,0.09,0.16,7,0.34,16,0.4,0,Flesh foods 
7294,7,294,Meat and poultry and their products,Lamb/mutton@ meat@ moderately fat,,0.82,253,60.6,16.5,21.2,0,0,1,10,2.1,22,149,250,76,3.33,0.11,10,10,0,0.3,0.21,0.13,0.19,3.5,0.4,2,2.9,0,Flesh foods 
7295,7,295,Meat and poultry and their products,Pork@ meat@ approx. 40 % fat@ boneless,,1,392,46.6,12.3,38.8,0,0,1.2,11,1.8,16,165,300,60,3.6,0.1,0,0,0,1,0.1,0.6,0.17,3.6,0.38,3,0.7,0,Flesh foods 
7296,7,296,Meat and poultry and their products,Pork@ meat@ approx. 20 % fat@ boneless,,1,263,60.1,16.8,22,0,0,1.1,10,1.4,20,170,301,68,3.6,0.1,0,0,0,0.7,0.1,0.72,0.22,3.8,0.32,2,0.8,0,Flesh foods 
7297,7,297,Meat and poultry and their products,Rabbit meat,,0.76,128,72.7,21.6,4.8,0,0,1,16,1.2,27,212,351,60,1.7,0.15,10,10,0,0,0.8,0.11,0.15,9.5,0.57,5,10,0,Flesh foods 
7298,7,298,Meat and poultry and their products,Ant flying,, ,595,2.9,38.8,46.9,5.5,,5.9,91,35.2,,609,476,1970,,,,,,,,0.13,4.5,5.7,,,,,Flesh foods 
7299,7,299,Meat and poultry and their products,Beef@ meat@ lean@ boneless,,1,126,73.2,21.7,4.3,0,0,1,5,2.1,22,170,360,50,3.6,0.09,0,0,0,0.4,0.23,0.06,0.19,6.2,0.23,7,1.4,0,Flesh foods 
7304,7,304,Meat and poultry and their products,Beef@ meat@ approx. 30 % fat@ boneless,,1,318,54.2,16.4,28.4,0,0,0.8,4,1.6,17,170,272,62,3.9,0.06,42,42,0,0.9,0.9,0.03,0.14,5,0.32,7,1.4,0,Flesh foods 
7307,7,307,Meat and poultry and their products,Beef@ meat@ lean@ cured,,1,180,53.8,31.1,1.9,9.1,0,4.1,8,2.4,19,181,235,2790,4.93,0.07,0,0,0,0,0.38,0.07,0.16,5.2,0.39,10,1.6,0,Flesh foods 
7309,7,309,Meat and poultry and their products,Beef@ kidney,,0.84,99,77.9,17.4,3.1,0.3,0,1.3,13,4.6,17,257,262,182,1.92,0.43,419,419,0,1.1,0.22,0.36,2.84,8,0.67,98,27.5,9.4,Flesh foods 
7311,7,311,Meat and poultry and their products,Beef@ tripe,,1,82,84.2,12.1,3.7,0,0,0.6,69,0.6,13,64,67,97,1.42,0.07,0,0,0,0,0.09,0,0.06,0.9,0.01,5,1.4,0,Flesh foods 
7313,7,313,Meat and poultry and their products,Beef@  ground@ 10 % fat,,1,170,69.5,20.1,10,0,0,1,12,2.2,20,184,321,66,4.79,0.07,0,0,0,0.1,0.32,0.04,0.16,5.1,0.37,6,2.2,0,Flesh foods 
7315,7,315,Meat and poultry and their products,Beef@ meat@ cured,,1,241,57.7,27.1,14.9,0,0,2.9,12,2.1,14,111,136,1010,3.57,0.06,0,0,0,0.2,0.15,0.02,0.15,2.4,0.13,9,1.6,0,Flesh foods 
7316,7,316,Meat and poultry and their products,Bamboo caterpillar@ deep fried,,,638,4.5,25.5,55.3,11,,3.7,4,2.7,,356,674,609,,,,,,,,,,,,,,,Flesh foods 
7317,7,317,Meat and poultry and their products,Game meat@ dried,,1,332,23.4,66.7,7,0,0,3.4,15,9.9,67,586,923,2210,6.06,0.73,0,0,0,,0.58,0.64,1.39,18.5,1.07,12,18.3,0,Flesh foods 
7320,7,320,Meat and poultry and their products,Chicken@ dark meat@ flesh and skin,,0.65,230,65.4,16.7,18.3,0,0,0.8,11,1,19,136,178,73,1.58,0.05,49,49,0,0.2,0.3,0.06,0.15,5.2,0.25,7,0.3,0,Flesh foods 
